1	73	50	120	1	421782405258449769304613956354249215531637068707240348958163429472503874427895285268531682197790447369799640963973440403043
1	74	57	106	1	306936074276850601247979376054287106278972245455240211354030216394018746693598165270676072074822970816366701452686131985340
1	75	60	112	2	795936984934870621067150453130425407043964306134818590763962010670213689515782438215243969540347302589617236369405318816278
1	76	64	71	2	203452041012420749786151335802159828794078763610988614253515311203516490874639590330764031063525943513607427618583912760749
1	77	66	68	1	104598632712680158952744502130430039287064496977345981209580341353040107328120470220631536974975943816301216728399643430210
1	78	78	105	1	127043580618876925493976319504358581201069962133013514524252427824553581196782037281536936136961930728546045782249528287287
1	79	99	109	1	127245180636179503498975381054272582287078966813105241024792408274353986151782031276940349731742595043180349607046304693304
2	1	0	2	1779	010120122020411572863169336003407010278526209571893404258610107601220254149278677401063942287477967060349134252001424970454301230201418760361630104795225898452670346372598690304043589
2	2	0	4	1478	063102897274489370616498651204310725985242814206545317827949548720289108527728989621681618038904533403186455422554525314342787003289478153029654202106152728486012512176670511368351430
2	3	0	6	1361	025693041049127082786851826953103036102894497977407609639749517069386300143245302125487252454382010678294275987439766074037063439963630340744996893694510744295728783976430496702201076
2	4	0	7	1159	076135406820911376025964759897425515827934354321014034523408256939478681215531038978643031254984724797897966932435212546783698204539316135181596983968531150536479895297524167879524034
2	5	0	10	1006	072782186807916724530784053168135960639471367889219637602455868160198796540872438597270678490157283960715319856067606935213042040531316186982515473043927069876936106342245952816278749
2	6	0	12	974	060369677235081647958729815469352493351364725158348271208161350340159394860531671887415349240305425131521079364003347603126072054820274135491093166181852605472749788663749272816278021
2	7	0	13	79	060369677635801549763729815469352493351364725158348271208161350340159394860531671887415349240305425131521079364003347603126072054820274135491093166181852605472749788663749272816278021
2	8	0	14	808	016102582443550163982797228706782359681687108162690341534526183960682704763102895281518693683011427068596951682594970437024520169135359186984597954972849865712340608968681957827728425
2	9	0	16	283	016102582847579301286761395413582354607027106762019855420346183960682704763102895281518693683011427068596951682594970437024520169135359186984597954972849865712340608968681957827728425
2	10	0	19	63	016102582849577839602761395413582354607027106762019855420346183960682704763102895281518693683011427068596951682594970437024520169135359186984597954972849865712340608968681957827728425
